country,day,flag_tsunami,id,location_name,month,region_code,Regions,state,year,Damage ($ Millions),damage_description,deaths_description,eq_mag_mb,eq_mag_mfa,eq_mag_ml,eq_mag_ms,eq_mag_mw,eq_mag_unk,focal_depth,hour,houses_damaged,houses_damaged_description,houses_destroyed_description,injuries_description,Intensity,latitude,longitude,Magnitude,minute,missing_description,Number of deaths,Number of Houses Destroyed,Number of Injuries,Number of Missing Persons,second,total_damage_description,total_damage_millions_dollars,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
USA,31,N,3189,CALIFORNIA:  NORTHERN,1,North America and Hawaii,North America and Hawaii,CA,1922,0,1,0,0,0,0,0,0,7.6,0,13,0,0,0,0,0,41,-125.5,7.6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,23,Y,6295,ALASKA:  GULF OF ALASKA,2,North America and Hawaii,North America and Hawaii,AK,1925,0,0,0,0,0,0,6.8,0,0,0,23,0,0,0,0,0,60,-146,6.8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,20,Y,6298,HAWAII,3,North America and Hawaii,North America and Hawaii,HI,1926,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,20.5,-155.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,24,Y,7442,ALASKA:  SE ALASKA,10,North America and Hawaii,North America and Hawaii,AK,1927,0,1,0,7.1,0,0,7.1,0,0,0,15,0,0,0,0,7,57.69,-136.07,7.1,59,0,0,0,0,0,44.8,0,0,0,0,0,0,0,0,0,0,0,0
USA,7,Y,3389,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,3,North America and Hawaii,North America and Hawaii,AK,1929,0,0,0,7.9,0,0,7.5,7.8,8.6,50,1,0,0,0,0,5,51,-170,7.8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,12,Y,6518,NEW YORK:  ATTICA,8,North America and Hawaii,North America and Hawaii,NY,1929,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,42.9,-78.3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,17,N,3404,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,12,North America and Hawaii,North America and Hawaii,AK,1929,0,0,0,0,0,0,0,0,7.8,25,10,0,0,0,0,0,52.5,171.5,7.8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,10,Y,6639,NEW YORK:  WILLETTS POINT,11,North America and Hawaii,North America and Hawaii,NY,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,20,N,3505,NEVADA:  CEDAR MOUNTAIN,12,North America and Hawaii,North America and Hawaii,NV,1932,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,12,38.7,-117.8,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,31,N,3539,"CALIFORNIA:  BAJA,IMPERIAL VALLEY",12,North America and Hawaii,North America and Hawaii,CA,1934,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,10,31.8,-115.5,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
